ProcessNum, Sample, Priority, Elapsed_Time_Microseconds
0, 1, -10, 216667
0, 2, -10, 216666
0, 3, -10, 216666
0, 4, -10, 216667
0, 5, -10, 216666
0, 6, -10, 233333
0, 7, -10, 200000
0, 8, -10, 233333
0, 9, -10, 216667
0, 10, -10, 216667
0, 11, -10, 200000
0, 12, -10, 216667
0, 13, -10, 200000
0, 14, -10, 216667
0, 15, -10, 216666
0, 16, -10, 216667
0, 17, -10, 233333
0, 18, -10, 233333
0, 19, -10, 216667
0, 20, -10, 216667
0, 21, -10, 216667
0, 22, -10, 216667
0, 23, -10, 216667
0, 24, -10, 216667
0, 25, -10, 233333
0, 26, -10, 216667
0, 27, -10, 233333
0, 28, -10, 216667
0, 29, -10, 233333
0, 30, -10, 216666
1, 1, 0, 316667
1, 2, 0, 316666
1, 3, 0, 316666
1, 4, 0, 300000
1, 5, 0, 316666
1, 6, 0, 316667
1, 7, 0, 300000
1, 8, 0, 316666
1, 9, 0, 300000
1, 10, 0, 316667
1, 11, 0, 300000
1, 12, 0, 300000
1, 13, 0, 300000
1, 14, 0, 316667
1, 15, 0, 300000
1, 16, 0, 316667
1, 17, 0, 316666
1, 18, 0, 316667
1, 19, 0, 300000
1, 20, 0, 316667
1, 21, 0, 300000
1, 22, 0, 316667
1, 23, 0, 300000
1, 24, 0, 300000
1, 25, 0, 316666
1, 26, 0, 316667
1, 27, 0, 316667
1, 28, 0, 316667
1, 29, 0, 316666
1, 30, 0, 316666
2, 1, 10, 466667
2, 2, 10, 450000
2, 3, 10, 466666
2, 4, 10, 466667
2, 5, 10, 483333
2, 6, 10, 483333
2, 7, 10, 466667
2, 8, 10, 483333
2, 9, 10, 466667
2, 10, 10, 466667
2, 11, 10, 466666
2, 12, 10, 466667
2, 13, 10, 466666
2, 14, 10, 466667
2, 15, 10, 466666
2, 16, 10, 483334
2, 17, 10, 483333
2, 18, 10, 483333
2, 19, 10, 466667
2, 20, 10, 466667
2, 21, 10, 466667
2, 22, 10, 466667
2, 23, 10, 450000
2, 24, 10, 466667
2, 25, 10, 466666
2, 26, 10, 500000
2, 27, 10, 483333
2, 28, 10, 483334
2, 29, 10, 483333
2, 30, 10, 483333
